factual,counterfactual,y-NN,len CF,L1,L2,Linf,EMD,DL Edit,# changes,LSP,diversity,Violations (%)
"[10, 7, 8, 25, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 1, 15, 6, 13, 16, 31, 24, 32, 30, 32, 30, 32, 17, 34, 30, 35, 28, 33, 29, 27, 29, 27, 29, 27, 29, 12, 15, 13, 16, 28, 27, 29, 27, 29, 27, 29, 27, 29, 27, 29, 37]","[10, 7, 8, 25, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 1, 15, 6, 13, 16, 31, 24, 32, 30, 32, 30, 32, 17, 34, 30, 35, 28, 33, 29, 27, 29, 27, 29, 27, 29, 12, 15, 13, 16, 28, 27, 29, 27, 29, 27, 29, 27, 29, 27, 29, 37]",0.0,56,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
"[10, 7, 8, 25, 26, 1, 15, 6, 13, 16, 31, 24, 32, 30, 32, 17, 34, 30, 35, 3, 2, 9, 11, 33, 36, 36, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10, 7, 8, 25, 26, 24, 26, 26, 13, 16, 31, 24, 32, 30, 32, 30, 32, 30, 32, 30, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 27, 27, 27, 27, 27, 27, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",0.6,56,94.64,6.84,1.0,11.52,43,43,5,1.39,53.191489361702125
"[10, 7, 8, 25, 26, 1, 15, 6, 13, 16, 31, 24, 32, 30, 32, 17, 34, 30, 35, 3, 2, 9, 11, 33, 36, 36, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10, 7, 8, 25, 26, 24, 26, 26, 13, 16, 31, 24, 32, 30, 32, 30, 32, 30, 32, 30, 32, 32, 32, 32, 32, 32, 32, 32, 32, 27, 27, 27, 27, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",0.6,56,94.59,6.83,1.0,10.52,43,43,5,1.39,53.191489361702125
"[10, 7, 8, 25, 26, 1, 15, 6, 13, 16, 31, 24, 32, 30, 32, 17, 34, 30, 35, 3, 2, 9, 11, 33, 36, 36, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10, 7, 8, 25, 26, 24, 26, 26, 13, 16, 31, 24, 32, 30, 32, 30, 32, 30, 32, 30, 32, 32, 32, 32, 32, 32, 32, 32, 32, 27, 27, 27, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",1.0,56,94.57,6.83,1.0,10.21,43,43,5,1.39,53.191489361702125
"[10, 7, 8, 25, 26, 1, 15, 6, 13, 16, 31, 24, 32, 30, 32, 17, 34, 30, 35, 3, 2, 9, 11, 33, 36, 36, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10, 7, 8, 25, 26, 24, 26, 26, 13, 16, 31, 24, 32, 30, 32, 30, 32, 30, 32, 30, 32, 32, 32, 32, 32, 32, 32, 32, 35, 27, 27, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",0.2,56,94.56,6.83,1.0,9.86,43,43,5,1.39,53.191489361702125
"[10, 7, 8, 25, 26, 1, 15, 6, 13, 16, 31, 24, 32, 30, 32, 17, 34, 30, 35, 3, 2, 9, 11, 33, 36, 36, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10, 7, 8, 25, 26, 24, 26, 26, 13, 16, 31, 24, 32, 30, 32, 30, 32, 30, 32, 30, 32, 32, 32, 32, 32, 32, 32, 32, 35, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",0.4,56,94.55,6.82,1.0,9.25,43,43,5,1.39,53.191489361702125
"[10, 7, 8, 25, 26, 1, 15, 6, 13, 16, 31, 24, 32, 30, 32, 17, 34, 30, 35, 3, 2, 9, 11, 33, 36, 36, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10, 7, 8, 25, 26, 24, 26, 26, 13, 16, 31, 24, 32, 30, 32, 30, 32, 30, 32, 30, 32, 32, 32, 32, 32, 32, 32, 32, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",0.0,56,94.56,6.81,1.0,8.91,43,43,5,1.39,53.191489361702125
"[10, 7, 8, 25, 26, 1, 15, 6, 13, 16, 31, 24, 32, 30, 32, 17, 34, 30, 35, 3, 2, 9, 11, 33, 36, 36, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10, 7, 8, 25, 26, 24, 26, 26, 13, 16, 31, 24, 32, 30, 32, 30, 32, 30, 32, 30, 32, 32, 32, 32, 32, 32, 32, 35, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",0.4,56,94.55,6.81,1.0,8.86,43,43,5,1.39,53.191489361702125
"[10, 7, 8, 25, 26, 1, 15, 6, 13, 16, 31, 24, 32, 30, 32, 17, 34, 30, 35, 3, 2, 9, 11, 33, 36, 36, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10, 7, 8, 25, 26, 24, 26, 26, 13, 16, 31, 24, 32, 30, 32, 30, 32, 30, 32, 30, 32, 32, 32, 32, 32, 32, 32, 35, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 8]",0.4,56,94.5,6.81,1.0,8.82,43,43,5,1.39,63.829787234042556
"[10, 7, 8, 25, 26, 1, 15, 6, 13, 16, 31, 24, 32, 30, 32, 17, 34, 30, 35, 3, 2, 9, 11, 33, 36, 36, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10, 7, 8, 25, 26, 24, 26, 26, 13, 16, 31, 24, 32, 30, 32, 30, 32, 30, 32, 30, 32, 32, 32, 32, 32, 32, 32, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",0.6,56,94.5,6.81,1.0,8.52,43,43,5,1.39,53.191489361702125
