factual,counterfactual,y-NN,len CF,L1,L2,Linf,EMD,DL Edit,# changes,LSP,diversity,Violations (%)
"[17, 160, 29, 18, 21, 158, 170, 361, 150, 22, 20, 28, 23, 45, 225, 226, 227, 40, 230, 228, 42, 41, 229, 232, 235, 51, 225, 55, 57, 67, 266, 75, 81, 303, 335, 97, 100, 105, 110, 360, 112, 231, 48, 64, 108, 233, 109, 117, 74, 73, 47, 98, 118, 104, 116, 52, 113, 102, 115, 99, 63, 103, 114, 139, 1, 124, 138, 136, 141, 16, 38, 140, 362]","[17, 18, 21, 21, 170, 22, 150, 150, 160, 160, 30, 30, 30, 39, 45, 45, 45, 45, 57, 57, 57, 57, 57, 67, 67, 266, 266, 266, 75, 74, 74, 74, 97, 98, 100, 100, 100, 113, 113, 113, 1, 15, 15, 15, 362, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,45,142.04,8.48,1.0,70.66,67,71,1,13.08,0.0
"[17, 160, 29, 18, 21, 158, 170, 361, 150, 22, 20, 28, 23, 45, 225, 226, 227, 40, 230, 228, 42, 41, 229, 232, 235, 51, 225, 55, 57, 67, 266, 75, 81, 303, 335, 97, 100, 105, 110, 360, 112, 231, 48, 64, 108, 233, 109, 117, 74, 73, 47, 98, 118, 104, 116, 52, 113, 102, 115, 99, 63, 103, 114, 139, 1, 124, 138, 136, 141, 16, 38, 140, 362]","[17, 18, 21, 21, 170, 22, 150, 150, 160, 160, 160, 30, 30, 39, 45, 45, 45, 45, 45, 57, 57, 57, 57, 57, 67, 266, 266, 266, 266, 75, 74, 74, 97, 97, 98, 100, 100, 100, 113, 113, 113, 1, 15, 15, 362, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,45,141.84,8.47,1.0,65.42,66,71,1,13.08,0.0
"[17, 160, 29, 18, 21, 158, 170, 361, 150, 22, 20, 28, 23, 45, 225, 226, 227, 40, 230, 228, 42, 41, 229, 232, 235, 51, 225, 55, 57, 67, 266, 75, 81, 303, 335, 97, 100, 105, 110, 360, 112, 231, 48, 64, 108, 233, 109, 117, 74, 73, 47, 98, 118, 104, 116, 52, 113, 102, 115, 99, 63, 103, 114, 139, 1, 124, 138, 136, 141, 16, 38, 140, 362]","[17, 18, 21, 21, 158, 22, 22, 150, 160, 160, 160, 30, 30, 30, 43, 45, 45, 45, 45, 57, 57, 57, 57, 57, 67, 67, 266, 266, 266, 75, 75, 74, 74, 97, 98, 98, 100, 100, 113, 113, 113, 113, 1, 15, 15, 362, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,46,141.66,8.46,1.0,69.0,67,71,1,13.08,0.0
"[17, 160, 29, 18, 21, 158, 170, 361, 150, 22, 20, 28, 23, 45, 225, 226, 227, 40, 230, 228, 42, 41, 229, 232, 235, 51, 225, 55, 57, 67, 266, 75, 81, 303, 335, 97, 100, 105, 110, 360, 112, 231, 48, 64, 108, 233, 109, 117, 74, 73, 47, 98, 118, 104, 116, 52, 113, 102, 115, 99, 63, 103, 114, 139, 1, 124, 138, 136, 141, 16, 38, 140, 362]","[17, 18, 21, 21, 158, 22, 22, 150, 160, 160, 160, 30, 30, 30, 39, 45, 45, 45, 45, 45, 57, 57, 57, 57, 57, 67, 67, 266, 266, 266, 75, 74, 74, 74, 97, 98, 100, 100, 100, 113, 113, 113, 113, 1, 15, 15, 362, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,47,141.45,8.45,1.0,68.42,66,71,1,13.08,0.0
"[17, 160, 29, 18, 21, 158, 170, 361, 150, 22, 20, 28, 23, 45, 225, 226, 227, 40, 230, 228, 42, 41, 229, 232, 235, 51, 225, 55, 57, 67, 266, 75, 81, 303, 335, 97, 100, 105, 110, 360, 112, 231, 48, 64, 108, 233, 109, 117, 74, 73, 47, 98, 118, 104, 116, 52, 113, 102, 115, 99, 63, 103, 114, 139, 1, 124, 138, 136, 141, 16, 38, 140, 362]","[17, 18, 21, 21, 158, 22, 22, 150, 160, 160, 160, 30, 30, 30, 39, 45, 45, 45, 45, 45, 57, 57, 57, 57, 57, 67, 67, 266, 266, 266, 266, 75, 74, 74, 97, 97, 98, 100, 100, 100, 113, 113, 113, 113, 15, 15, 15, 362, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,48,141.29,8.45,1.0,64.27,67,69,1,13.08,0.0
"[17, 160, 29, 18, 21, 158, 170, 361, 150, 22, 20, 28, 23, 45, 225, 226, 227, 40, 230, 228, 42, 41, 229, 232, 235, 51, 225, 55, 57, 67, 266, 75, 81, 303, 335, 97, 100, 105, 110, 360, 112, 231, 48, 64, 108, 233, 109, 117, 74, 73, 47, 98, 118, 104, 116, 52, 113, 102, 115, 99, 63, 103, 114, 139, 1, 124, 138, 136, 141, 16, 38, 140, 362]","[17, 18, 21, 21, 158, 22, 22, 150, 150, 160, 160, 161, 30, 30, 39, 45, 45, 45, 45, 45, 57, 57, 57, 57, 57, 67, 67, 67, 266, 266, 266, 75, 75, 74, 74, 97, 98, 98, 100, 100, 113, 113, 113, 113, 1, 15, 15, 15, 362, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,49,141.17,8.45,1.0,65.66,67,68,1,13.08,0.0
"[17, 160, 29, 18, 21, 158, 170, 361, 150, 22, 20, 28, 23, 45, 225, 226, 227, 40, 230, 228, 42, 41, 229, 232, 235, 51, 225, 55, 57, 67, 266, 75, 81, 303, 335, 97, 100, 105, 110, 360, 112, 231, 48, 64, 108, 233, 109, 117, 74, 73, 47, 98, 118, 104, 116, 52, 113, 102, 115, 99, 63, 103, 114, 139, 1, 124, 138, 136, 141, 16, 38, 140, 362]","[17, 18, 21, 21, 158, 22, 22, 150, 150, 160, 160, 161, 30, 30, 39, 45, 45, 45, 45, 45, 45, 57, 57, 57, 57, 57, 67, 67, 266, 266, 266, 75, 75, 74, 74, 97, 98, 98, 100, 100, 100, 113, 113, 113, 113, 15, 15, 15, 362, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,49,141.09,8.44,1.0,64.6,67,68,1,13.08,0.0
"[17, 160, 29, 18, 21, 158, 170, 361, 150, 22, 20, 28, 23, 45, 225, 226, 227, 40, 230, 228, 42, 41, 229, 232, 235, 51, 225, 55, 57, 67, 266, 75, 81, 303, 335, 97, 100, 105, 110, 360, 112, 231, 48, 64, 108, 233, 109, 117, 74, 73, 47, 98, 118, 104, 116, 52, 113, 102, 115, 99, 63, 103, 114, 139, 1, 124, 138, 136, 141, 16, 38, 140, 362]","[17, 18, 21, 21, 158, 361, 22, 150, 150, 160, 160, 160, 30, 30, 39, 39, 45, 45, 45, 45, 45, 57, 57, 57, 57, 57, 67, 67, 266, 266, 266, 266, 75, 74, 74, 74, 97, 98, 100, 100, 100, 113, 113, 113, 113, 1, 15, 15, 362, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,49,140.99,8.44,1.0,57.96,67,70,1,13.08,0.0
"[17, 160, 29, 18, 21, 158, 170, 361, 150, 22, 20, 28, 23, 45, 225, 226, 227, 40, 230, 228, 42, 41, 229, 232, 235, 51, 225, 55, 57, 67, 266, 75, 81, 303, 335, 97, 100, 105, 110, 360, 112, 231, 48, 64, 108, 233, 109, 117, 74, 73, 47, 98, 118, 104, 116, 52, 113, 102, 115, 99, 63, 103, 114, 139, 1, 124, 138, 136, 141, 16, 38, 140, 362]","[17, 18, 21, 21, 158, 361, 22, 150, 150, 160, 160, 160, 30, 30, 30, 39, 45, 45, 45, 45, 45, 57, 57, 57, 57, 57, 67, 67, 266, 266, 266, 266, 75, 75, 74, 74, 97, 98, 100, 100, 100, 113, 113, 113, 113, 1, 15, 15, 15, 362, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,50,140.86,8.44,1.0,57.86,67,70,1,13.08,0.0
"[17, 160, 29, 18, 21, 158, 170, 361, 150, 22, 20, 28, 23, 45, 225, 226, 227, 40, 230, 228, 42, 41, 229, 232, 235, 51, 225, 55, 57, 67, 266, 75, 81, 303, 335, 97, 100, 105, 110, 360, 112, 231, 48, 64, 108, 233, 109, 117, 74, 73, 47, 98, 118, 104, 116, 52, 113, 102, 115, 99, 63, 103, 114, 139, 1, 124, 138, 136, 141, 16, 38, 140, 362]","[17, 18, 21, 21, 158, 170, 22, 150, 150, 160, 160, 160, 30, 30, 30, 39, 45, 45, 45, 45, 45, 57, 57, 57, 57, 57, 67, 67, 67, 266, 266, 266, 75, 75, 74, 74, 97, 98, 100, 100, 100, 100, 113, 113, 113, 113, 15, 15, 15, 362, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,50,140.74,8.43,1.0,61.85,66,70,1,13.08,0.0
