factual,counterfactual,y-NN,len CF,L1,L2,Linf,EMD,DL Edit,# changes,LSP,diversity,Violations (%)
"[17, 160, 29, 18, 21, 158, 170, 361, 150, 22, 20, 28, 23, 45, 225, 226, 227, 40, 230, 228, 42, 41, 229, 232, 235, 51, 225, 55, 57, 67, 266, 75, 81, 303, 335, 97, 100, 105, 110, 360, 112, 231, 48, 64, 108, 233, 109, 117, 74, 73, 47, 98, 118, 104, 116, 52, 113, 102, 115, 99, 63, 103, 114, 139, 1, 124, 138, 136, 141, 16, 38, 140, 362]","[17, 18, 21, 21, 158, 22, 22, 150, 150, 160, 160, 160, 30, 30, 30, 45, 45, 45, 45, 45, 45, 57, 57, 57, 57, 57, 57, 67, 266, 266, 266, 75, 74, 74, 74, 97, 98, 98, 100, 100, 100, 113, 113, 113, 113, 1, 15, 15, 362, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.0,49,140.87,8.43,1.0,65.08,66,68,1,12.52,0.0
"[17, 160, 29, 18, 21, 158, 170, 361, 150, 22, 20, 28, 23, 45, 225, 226, 227, 40, 230, 228, 42, 41, 229, 232, 235, 51, 225, 55, 57, 67, 266, 75, 81, 303, 335, 97, 100, 105, 110, 360, 112, 231, 48, 64, 108, 233, 109, 117, 74, 73, 47, 98, 118, 104, 116, 52, 113, 102, 115, 99, 63, 103, 114, 139, 1, 124, 138, 136, 141, 16, 38, 140, 362]","[17, 18, 21, 21, 158, 22, 22, 150, 150, 160, 160, 160, 30, 30, 30, 45, 45, 45, 45, 45, 45, 57, 57, 57, 57, 57, 57, 67, 266, 266, 266, 75, 75, 74, 74, 74, 98, 98, 100, 100, 100, 113, 113, 113, 113, 1, 15, 15, 362, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.0,49,140.78,8.43,1.0,65.38,67,69,1,12.52,0.0
"[17, 160, 29, 18, 21, 158, 170, 361, 150, 22, 20, 28, 23, 45, 225, 226, 227, 40, 230, 228, 42, 41, 229, 232, 235, 51, 225, 55, 57, 67, 266, 75, 81, 303, 335, 97, 100, 105, 110, 360, 112, 231, 48, 64, 108, 233, 109, 117, 74, 73, 47, 98, 118, 104, 116, 52, 113, 102, 115, 99, 63, 103, 114, 139, 1, 124, 138, 136, 141, 16, 38, 140, 362]","[17, 18, 20, 21, 158, 22, 22, 150, 150, 150, 160, 160, 30, 30, 30, 45, 45, 45, 45, 45, 45, 57, 57, 57, 57, 57, 57, 67, 266, 266, 266, 266, 75, 74, 74, 74, 98, 98, 98, 100, 100, 113, 113, 113, 113, 1, 15, 15, 362, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.0,49,140.67,8.43,1.0,62.95,68,70,1,12.52,0.0
"[17, 160, 29, 18, 21, 158, 170, 361, 150, 22, 20, 28, 23, 45, 225, 226, 227, 40, 230, 228, 42, 41, 229, 232, 235, 51, 225, 55, 57, 67, 266, 75, 81, 303, 335, 97, 100, 105, 110, 360, 112, 231, 48, 64, 108, 233, 109, 117, 74, 73, 47, 98, 118, 104, 116, 52, 113, 102, 115, 99, 63, 103, 114, 139, 1, 124, 138, 136, 141, 16, 38, 140, 362]","[17, 18, 20, 21, 158, 22, 22, 150, 150, 150, 160, 160, 30, 30, 30, 39, 45, 45, 45, 45, 45, 57, 57, 57, 57, 57, 57, 57, 266, 266, 266, 266, 75, 74, 74, 74, 97, 98, 98, 100, 100, 113, 113, 113, 113, 1, 1, 15, 362, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.8,49,140.56,8.42,1.0,63.37,67,70,1,12.52,0.0
"[17, 160, 29, 18, 21, 158, 170, 361, 150, 22, 20, 28, 23, 45, 225, 226, 227, 40, 230, 228, 42, 41, 229, 232, 235, 51, 225, 55, 57, 67, 266, 75, 81, 303, 335, 97, 100, 105, 110, 360, 112, 231, 48, 64, 108, 233, 109, 117, 74, 73, 47, 98, 118, 104, 116, 52, 113, 102, 115, 99, 63, 103, 114, 139, 1, 124, 138, 136, 141, 16, 38, 140, 362]","[17, 18, 20, 21, 158, 158, 22, 22, 150, 150, 160, 160, 161, 30, 30, 39, 45, 45, 45, 45, 45, 57, 57, 57, 57, 57, 57, 57, 67, 266, 266, 266, 75, 74, 74, 74, 97, 98, 98, 100, 100, 113, 113, 113, 113, 1, 1, 15, 362, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.0,49,140.45,8.42,1.0,64.19,67,69,1,12.52,0.0
"[17, 160, 29, 18, 21, 158, 170, 361, 150, 22, 20, 28, 23, 45, 225, 226, 227, 40, 230, 228, 42, 41, 229, 232, 235, 51, 225, 55, 57, 67, 266, 75, 81, 303, 335, 97, 100, 105, 110, 360, 112, 231, 48, 64, 108, 233, 109, 117, 74, 73, 47, 98, 118, 104, 116, 52, 113, 102, 115, 99, 63, 103, 114, 139, 1, 124, 138, 136, 141, 16, 38, 140, 362]","[17, 18, 20, 21, 21, 158, 22, 22, 150, 150, 160, 160, 161, 30, 30, 39, 45, 45, 45, 45, 45, 45, 57, 57, 57, 57, 57, 57, 67, 266, 266, 266, 75, 74, 74, 74, 97, 98, 98, 100, 100, 113, 113, 113, 113, 1, 15, 15, 362, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.0,49,140.33,8.41,1.0,66.04,66,68,1,12.52,0.0
"[17, 160, 29, 18, 21, 158, 170, 361, 150, 22, 20, 28, 23, 45, 225, 226, 227, 40, 230, 228, 42, 41, 229, 232, 235, 51, 225, 55, 57, 67, 266, 75, 81, 303, 335, 97, 100, 105, 110, 360, 112, 231, 48, 64, 108, 233, 109, 117, 74, 73, 47, 98, 118, 104, 116, 52, 113, 102, 115, 99, 63, 103, 114, 139, 1, 124, 138, 136, 141, 16, 38, 140, 362]","[17, 18, 20, 21, 21, 158, 22, 22, 150, 150, 160, 160, 161, 30, 30, 39, 45, 45, 45, 45, 45, 45, 57, 57, 57, 57, 57, 57, 67, 266, 266, 266, 75, 74, 74, 74, 98, 98, 98, 100, 100, 113, 113, 113, 113, 1, 15, 15, 362, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.0,49,139.95,8.39,1.0,66.03,67,68,1,12.52,0.0
"[17, 160, 29, 18, 21, 158, 170, 361, 150, 22, 20, 28, 23, 45, 225, 226, 227, 40, 230, 228, 42, 41, 229, 232, 235, 51, 225, 55, 57, 67, 266, 75, 81, 303, 335, 97, 100, 105, 110, 360, 112, 231, 48, 64, 108, 233, 109, 117, 74, 73, 47, 98, 118, 104, 116, 52, 113, 102, 115, 99, 63, 103, 114, 139, 1, 124, 138, 136, 141, 16, 38, 140, 362]","[17, 18, 18, 20, 21, 158, 158, 22, 150, 22, 23, 160, 23, 31, 31, 45, 45, 45, 45, 45, 45, 57, 57, 57, 57, 57, 57, 57, 57, 67, 266, 75, 81, 75, 97, 97, 100, 114, 114, 114, 114, 114, 114, 114, 1, 1, 109, 117, 362, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.0,49,136.74,8.23,1.0,72.16,58,58,1,12.52,0.0
"[17, 160, 29, 18, 21, 158, 170, 361, 150, 22, 20, 28, 23, 45, 225, 226, 227, 40, 230, 228, 42, 41, 229, 232, 235, 51, 225, 55, 57, 67, 266, 75, 81, 303, 335, 97, 100, 105, 110, 360, 112, 231, 48, 64, 108, 233, 109, 117, 74, 73, 47, 98, 118, 104, 116, 52, 113, 102, 115, 99, 63, 103, 114, 139, 1, 124, 138, 136, 141, 16, 38, 140, 362]","[17, 18, 18, 20, 21, 158, 158, 22, 150, 22, 23, 160, 23, 31, 31, 45, 45, 45, 45, 45, 45, 57, 57, 57, 57, 57, 57, 57, 57, 67, 266, 75, 81, 75, 97, 97, 100, 114, 114, 114, 114, 114, 114, 114, 113, 1, 109, 117, 362, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.0,49,136.65,8.23,1.0,70.63,58,58,1,12.52,0.0
"[17, 160, 29, 18, 21, 158, 170, 361, 150, 22, 20, 28, 23, 45, 225, 226, 227, 40, 230, 228, 42, 41, 229, 232, 235, 51, 225, 55, 57, 67, 266, 75, 81, 303, 335, 97, 100, 105, 110, 360, 112, 231, 48, 64, 108, 233, 109, 117, 74, 73, 47, 98, 118, 104, 116, 52, 113, 102, 115, 99, 63, 103, 114, 139, 1, 124, 138, 136, 141, 16, 38, 140, 362]","[17, 18, 18, 20, 21, 158, 170, 22, 150, 22, 23, 30, 23, 31, 31, 45, 45, 45, 45, 45, 45, 57, 57, 57, 57, 57, 57, 57, 57, 67, 266, 75, 81, 75, 97, 97, 100, 114, 114, 114, 114, 114, 114, 114, 113, 1, 109, 117, 362, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.0,49,136.57,8.22,1.0,72.25,57,57,1,12.52,0.0
